key,HASH(key)
1,3933146645272723456
2,3619655758959869952
3,2113669049152962560
4,295554863423553536
5,4969506748126724096
6,3681733203275546624
7,1805343873753415680
8,8441994797907968000
9,7557824149821849600
10,3995224089596788736
11,3352135461664456704
12,8533703097363464192
13,2313192503345414144
14,1063175223924228096
15,173229142374875136
16,5171003335251066880
17,4843988449105018880
18,3945307234715566080
19,1490866420970422272
20,5158698780488368128
21,4919589893253890048
22,8463500242732449792
23,4718703028671873024
24,2208946770518474752
25,5949564840128282624
26,7620278438074515456
27,4511198129495736320
28,5026795325466083328
29,710708627098304512
30,2951492264284651520
31,1465414710301032448
32,6906377232982212608
33,2385978213424693248
34,5997508562077614080
35,833644070671745024
36,4075381522134204416
37,2411662802709118976
38,7003251243351015424
39,2629643089051910144
40,3286488595421986816
41,2890024542485348352
42,7873288169074982912
43,4298383554074640384
44,634730339012444160
45,112747987062489088
46,7568765294198390784
47,87905998915764224
48,5381467933811671040
49,711318349635649536
50,9071792304615849984
51,6173553438522081280
52,6375659748179574784
53,8906688572543729664
54,4635729862064078848
55,6149698016853884928
56,6528226046884446208
57,3336028606370414592
58,8176447633544445952
59,7002031798272131072
60,5801787408416505856
61,6327339182299545600
62,4300356686998142976
63,3310344017090183168
64,5820477119163006976
65,1876766173450731520
66,7937948468847312896
67,2753188255158501376
68,3107251140979326976
69,8394660798491787264
70,3267189162133946368
71,701363771725053952
72,4331583831124475904
73,5228524791187636224
74,170036564385071104
75,8649266818478768128
76,6836551222275604480
77,9166083459524591616
78,5564274810181124096
79,3637968625777770496
80,3194403452042870784
81,1434564410101202944
82,6566824913460527104
83,9159698303535808512
84,4325431553741029376
85,277851719130415104
86,3965593234465357824
87,7407840706582020096
88,7896766746814578688
89,6553300913623138304
90,1888084161747484672
91,5595501954299068416
92,8314503365954371584
93,1518900987098562560
94,1881931884372426752
95,9117530015032934400
96,3187408573525131264
97,2110476471154769920
98,4036782655558123520
99,8285249354759929856
100,1356003266558689280
101,6836551222275604480
102,8011953624009670656
103,3011363697063886848
104,1169017245737680896
105,2866169120817152000
106,1995899316492828672
107,8267169366533996544
108,7514059572332462080
109,6367301459268075520
110,5535630521519833088
111,1573229865044279296
112,3417172605373775872
113,1305476689144315904
114,2598039100996976640
115,1567454431589433344
116,4086932389043896320
117,6892853233149018112
118,6973387509619228672
119,82130565460918272
120,298747441413357568
121,945638369872838656
122,2801131977107832832
123,209245153494302720
124,4542658152224522240
125,170036564385071104
126,2357943647304941568
127,3996210656058540032
128,2747412821703655424
129,5327371934478893056
130,7497952717034225664
131,4265560120949211136
132,1110132379411808256
133,2946326553354567680
134,8663400540853501952
135,6992310098974474240
136,4613470729388687360
137,1674659863801626624
138,5646028531721830400
139,4586799573644607488
140,5176778768697524224
141,512404617976348672
142,6946949232485990400
143,1727769296672653312
144,9028404571050868736
145,1690766719099863040
146,6223470293411692544
147,4058664944311205888
148,2082441905026629632
149,5565871099176026112
150,1142955812533043200
151,7255651251805749248
152,4594171296098549760
153,8291634510743732224
154,2497972512629981184
155,5053843325132472320
156,12914277300043776
157,990999236367613952
158,4477997852445900800
159,8036795612139618304
160,6391766603469422592
161,1354783821483999232
162,2334465069556957184
163,3582276337450090496
164,1577785853432823808
165,5974262862941519872
166,3803072357854085120
167,3583262903911841792
168,6021973706287349760
169,3806641779780878336
170,6308416592933814272
171,4418736142187757568
172,2005477050480066560
173,4563930718438162432
174,4505655574645440512
175,6626696346248151040
176,7392720417753923584
177,51889987796336640
178,462254884494770176
179,8725854829097779200
180,8033226190229602304
181,2253697914486390784
182,6756770633658400768
183,2687164544986382336
184,673329205592719360
185,1599058419644366848
186,294568296953413632
187,3768042913204797440
188,5086666758245318656
189,4756692172714016768
190,7769652158789582848
191,4746737594799226880
192,6519867757964558336
193,9189329158658850816
194,569460316690186240
195,7992044468180090880
196,9173832025902153728
197,4839809304645074944
198,1170003812199432192
199,4459308141691011072
200,2775070543903195136
201,1927292750865104896
202,4044764100545216512
203,7640564437824307200
204,6475116614005030912
205,7940531324303966208
206,664970916677025792
207,3030663130360315904
208,5963088839961477120
209,5506609388923650048
210,643465471852544000
211,3190224307585286144
212,5160062190874525696
213,693992049275305984
214,1298714689227718656
215,3742214358600515584
216,2785025121817985024
217,7277533540558831616
218,6928259521731100672
219,7022927520571850752
220,7460950139453046784
221,4258798121032613888
222,2259096504008441856
223,4535663273705472000
224,3175480862678450176
225,3160360573858742272
226,2411429924104568832
227,3601952614666731520
228,7513073005870710784
229,7273354396098887680
230,1221140112151150592
231,4218602965457436672
232,7399105573741395968
233,9136829448320974848
234,3473851460171595776
235,2860393687362306048
236,4819146460962488320
237,4998760759329554432
238,2618701944675368960
239,622192905641000960
240,2379216213508096000
241,2658287377721589760
242,2866778843354497024
243,1736127585584152576
244,5229888201576939520
245,6974606954685530112
246,1266877822568235008
247,4632537284074274816
248,7763123037472817152
249,4711331306221338624
250,441968884736589824
251,2364095924688388096
252,4400800119293739008
253,227325141707653120
254,5394991933644865536
255,4199913254702546944
256,7288097841006772224
257,1248797834352787456
258,982640947454017536
259,7992044468180090880
260,1906397028582162432
261,3803449201774297088
262,2384991646971330560
263,4012927233881538560
264,1157089534903582720
265,3159983729921753088
266,8986846005081145344
267,8092111056547086336
268,4200522977240940544
269,3807861224845082624
270,6038690284118736896
271,4856149038541570048
272,6118470872727552000
273,2125596759991255040
274,8522152230453772288
275,2057367038275354624
276,6313815182464778240
277,4875448471831183360
278,7202774697543467008
279,4600933296015147008
280,3147446296550309888
281,7030908965552652288
282,6327716026221854720
283,1307072978143412224
284,5044121625826426880
285,8733836274089066496
286,155525998081736704
287,2287740792673402880
288,3117815441425170432
289,6421397458592464896
290,7108483542633414656
291,3039021419280203776
292,6283951448724078592
293,2911906831238430720
294,6002907151607005184
295,1012648646501466112
296,5869407407582478336
297,312271441246552064
298,3946265847005184
299,8987455727617441792
300,7778010447692693504
301,7044809809308155904
302,5413304800479543296
303,5674672820383121408
304,3640551481242812416
305,6539167191252598784
306,8182832789536636928
307,7743213881647955968
308,7699449304150179840
309,7877467313518149632
310,6417828036674060288
311,2084415037958520832
312,7336418406884704256
313,1682408430179975168
314,7929590179927425024
315,6829789222359007232
316,1672077008336584704
317,4428080997564678144
318,5670116832000868352
319,4819146460962488320
320,738366349302038528
321,6073110006234873856
322,6345419170514993152
323,8650486263553458176
324,2453831091209895936
325,8625411396810571776
326,7626053871529361408
327,924365803660509184
328,6106310283276320768
329,7247525841502994432
330,3318092583476920320
331,4599337007016050688
332,4990402470418055168
333,1736737308121497600
334,4744154739342573568
335,6227272593934647296
336,1939830184236548096
337,7810457036889522176
338,4096654088354136064
339,1948565317076647936
340,9212807736406835200
341,4880991026677809152
342,6281978315804770304
343,370169741110673408
344,4286455843236347904
345,2983329130944135168
346,4140041821914923008
347,2876500542652153856
348,6867778366401937408
349,5378885078355017728
350,3570348626611798016
351,7117218675475611648
352,1807549885285662720
353,6726153212073607168
354,5132027624746385408
355,8122351634211667968
356,6751604922745094144
357,8717119696261873664
358,3179660007138394112
359,5480924799653904384
360,6756393789738188800
361,5314834501107449856
362,6510146058662707200
363,7187421530106626048
364,6121430572112805888
365,8380527076125442048
366,2231815625733308416
367,236293153160691712
368,5141982202661175296
369,3036438563806773248
370,8477401086494244864
371,8373388232280244224
372,6242392882766938112
373,4027437800184872960
374,4565527007433064448
375,7632206148904419328
376,2195045926761398272
377,5716464264955297792
378,8258811077618302976
379,5291965645901004800
380,5888097118345756672
381,5342869067235590144
382,3835895790975320064
383,5731961397714092032
384,2813669410483470336
385,369183174651019264
386,2520841367836426240
387,4185779532336201728
388,9104992581661491200
389,8635365974721167360
390,7509880427872518144
391,6951128376937545728
392,8772202262060597248
393,2479892524414533632
394,3250095740376055808
395,6166791438605484032
396,5186733346612314112
397,8531120241898422272
398,6238213738311188480
399,211218286417805312
400,2958487142805798912
401,7278752985625133056
402,6817251788987564032
403,7801112181514174464
404,7816232470345416704
405,6518271468961267712
406,2513702523999617024
407,5911198852156751872
408,1472176710217629696
409,1545572142840545280
410,5495058522011860992
411,3698826625035534336
412,4389858974917197824
413,8390104810109534208
414,5472566510734016512
415,2391376802959589376
416,7301012118298427392
417,6371103759794700288
418,4951426759913373696
419,8138081645578158080
420,1197051811865821184
421,4122338677625978880
422,8365406787288956928
423,8070228767802392576
424,2260459914402988032
425,5435187089224237056
426,2950128853892202496
427,3517239193736577024
428,2435518224385703936
429,3555605181703913472
430,5323192790027337728
431,7081202664364572672
432,4178640688493101056
