key,HASH(key)
1,7866293255806552177
2,7239311485110965865
3,4227338077681639338
4,591109690982151110
5,9939013465390054707
6,7363466389357126369
7,3610687722627124132
8,16883989563207500488
9,15115648281528275479
10,7990448160052712681
11,6704270913540771268
12,17067406169874663017
13,4626384996136733185
14,2126350412600348101
15,346458257082496515
16,10342006633468128636
17,9687976865472309088
18,7890614461681360802
19,2981732827120047779
20,10317397552563006342
21,9839179767018702828
22,16927000475552961284
23,9437406057138184370
24,4417893516980827461
25,11899129644566023310
26,15240556852388370553
27,9022396223637862963
28,10053590620609078675
29,1421417233013107593
30,5902984493621538062
31,2930829415528626819
32,13812754453357171936
33,4771956398278970471
34,11995017093314395107
35,1667288125110317659
36,8150763019042622056
37,4823325601454012332
38,14006502475665405571
39,5259286141266789620
40,6572977176662585170
41,5780049047572933029
42,15746576301846841873
43,8596767099466156781
44,1269460664852779283
45,225495935845381523
46,15137530571007973162
47,175811982451516034
48,10762935841402920166
49,1422636691210663064
50,18143584604002829566
51,12347106849801048076
52,12751319476076677476
53,17813377136995874280
54,9271459698744118541
55,12299396021218672628
56,13056452070594889567
57,6672057208420002479
58,16352895241260285973
59,14004063559270294629
60,11603574799074947755
61,12654678360714371109
62,8600713349089136863
63,6620688005244960618
64,11640954212016252097
65,3753532333343936807
66,15875896913913537930
67,5506376491561555157
68,6214502254157841177
69,16789321572656684162
70,6534378305523725357
71,1402727526542455422
72,8663167634519184400
73,10457049580270773505
74,340073091064405491
75,17298533605124200994
76,13673102425649404773
77,18332166918490527648
78,11128549596539689753
79,7275937231438335637
80,6388806903381488071
81,2869128796712513852
82,13133649812872609193
83,18319396586454345600
84,8650863094066623253
85,555703402852336809
86,7931186457631710656
87,14815681394830598941
88,15793533463815282751
89,13106601815572375957
90,3776168289437569060
91,11191003881969737290
92,16629006713666774787
93,3037801946532004292
94,3763863748985007913
95,18235060011544600380
96,6374817113147750552
97,4220952911663548314
98,8073565276764902430
99,16570498677859707332
100,2712006520731649989
101,13673102425649404773
102,16023907232450886158
103,6022727356661097583
104,2338034474765299337
105,5732338218990557581
106,3991798601225500378
107,16534338723115958461
108,15028119123609484747
109,12734602894417515346
110,11071261018930177769
111,3146459727316558137
112,6834345192221401895
113,2610953364162742639
114,5196078189222807513
115,3134908853477931560
116,8173864766719875210
117,13785706456056938700
118,13946774981660782645
119,164261108612889457
120,597494857000242134
121,1891276727727830042
122,5602263940309926954
123,418490291539680588
124,9085316300651531401
125,340073091064405491
126,4715887278867013958
127,7992421284864202722
128,5494825617722928580
129,10654743852201987222
130,14995905418488715958
131,8531120231027063732
132,2220264736537229857
133,5892653077980466956
134,17326801060621989701
135,13984620186185707888
136,9226941453170788605
137,3349319707068307407
138,11292057038538644640
139,9173599125184256703
140,10353557507306755213
141,1024809230953124688
142,13893898445257871644
143,3455538571457750310
144,18056809112697973404
145,3381533412189076196
146,12446940548172399955
147,8117329855724297796
148,4164883792251591801
149,11131742179548735265
150,2285911604976322906
151,14511302466926321420
152,9188342582031928792
153,16583269009895889380
154,4995945000896482854
155,10107686615209545147
156,25828539102677765
157,1981998468655666286
158,8955995688584835344
159,16073591185844751647
160,12783533181197446265
161,2709567604336539047
162,4668930116898573080
163,7164552659228357181
164,3155571684760073772
165,11948525722929575130
166,7606144698445290923
167,7166525784039847222
168,12043947380094326026
169,7613283531077316517
170,12616833156189445866
171,8837472283742831294
172,4010954099279773450
173,9127861421413371296
174,9011311141382857287
175,13253392675912168714
176,14785440814521320193
177,103779947994331961
178,924509740998151908
179,17451709631482084775
180,16066452353212726053
181,4507395799711108234
182,13513541233273429968
183,5374329088069434489
184,1346658407130498909
185,3198116805521913667
186,589136566170661069
187,7536085788799596891
188,10173333483648638196
189,9513384341218348525
190,15539304280888491620
191,9493475176550140883
192,13039735488935727437
193,18378658288875347625
194,1138920594588527755
195,15984088903114470874
196,18347664041952134307
197,9679618574642728023
198,2340007599576789378
199,8918616275643531002
