key,HASH(key)
1,17901
2,16901
3,10626
4,18478
5,15911
6,8861
7,12820
8,16808
9,9339
10,9861
11,5044
12,12805
13,5437
14,18161
15,14263
16,19084
17,16864
18,3994
19,7639
20,4334
21,10044
22,5108
23,106
24,12401
25,18390
26,12245
27,18215
28,15623
29,10917
30,18006
31,2615
32,6496
33,14731
34,15895
35,8367
36,13000
37,2044
38,5687
39,18980
40,7306
41,19281
42,18701
43,4473
44,6791
45,19719
46,8962
47,7930
48,13518
49,4152
50,2694
51,14044
52,10452
53,4168
54,13081
55,6436
56,11939
57,2227
58,13313
59,19217
60,9151
61,2001
62,12835
63,14914
64,13565
65,6987
66,12258
67,9665
68,14325
69,12538
70,9657
71,8710
72,14288
73,1085
74,19431
75,16410
76,9745
77,288
78,12277
79,10369
80,363
81,12108
82,7237
83,10624
84,6913
85,18245
86,5824
87,9449
88,15363
89,6017
90,17556
91,13730
92,9399
93,14260
94,10181
95,9548
96,17464
97,15794
98,17702
99,16308
100,6385
101,9745
102,8022
103,19315
104,8613
105,11673
106,16370
107,5129
108,10847
109,12426
110,12421
111,1429
112,9547
113,7283
114,6581
115,5000
116,5858
117,5276
118,19361
119,11501
120,13310
121,6194
122,7170
123,7964
124,1957
125,19431
126,8110
127,14042
128,13236
129,8638
130,8030
131,5604
132,11485
133,14812
134,10865
135,6064
136,2889
137,10579
138,12832
139,11395
140,15513
141,2576
142,10156
143,11278
144,15148
145,13396
146,19911
147,16948
148,9173
149,9693
150,10354
151,18908
152,5240
153,5972
154,12558
155,18063
156,7985
157,2102
158,8400
159,19811
160,13269
161,19915
162,11448
163,8073
164,11388
165,1522
166,8895
167,12254
168,16738
169,14673
170,15298
171,326
172,866
173,7968
174,4075
175,8546
176,10813
177,14229
178,14420
179,13771
180,14033
181,15074
182,17552
183,981
184,2089
185,17399
186,14297
187,19375
188,16932
189,2169
190,18900
191,6727
192,13913
193,14661
194,19999
195,17138
196,5079
197,17851
198,12794
199,3986
200,8911
201,6089
202,4782
203,14075
204,11240
205,13855
206,4063
207,16964
208,19610
209,1619
210,15763
211,1350
212,19461
213,14865
214,6673
215,3405
216,4353
217,18154
218,5742
219,14282
220,10148
221,4994
222,557
223,19058
224,13660
225,15024
226,19755
227,16668
228,6666
229,19141
230,5131
231,12280
232,477
233,7197
234,16024
235,15244
236,5075
237,9002
238,19357
239,9752
240,14121
241,18836
242,4908
243,9304
244,16212
245,5831
246,11985
247,18249
248,579
249,6261
250,12590
251,15485
252,17804
253,19143
254,14738
255,7866
256,6831
257,806
258,4076
259,17138
260,11024
261,19841
262,10550
263,10094
264,4809
265,4078
266,7307
267,11161
268,1101
269,1143
270,12790
271,2957
272,4983
273,14430
274,19947
275,15095
276,781
277,606
278,498
279,5850
280,7039
281,1362
282,12947
283,4699
284,4910
285,851
286,14030
287,413
288,3002
289,17306
290,2904
291,14990
292,14455
293,18527
294,1378
295,19059
296,15251
297,14530
298,16724
299,542
300,16926
301,13528
302,8206
303,12688
304,11966
305,11562
306,2977
307,9695
308,11203
309,17714
310,11528
311,17535
312,15282
313,15370
314,14232
315,9135
316,8982
317,2533
318,2729
319,5075
320,6592
321,9075
322,13180
323,2880
324,3120
325,8802
326,8674
327,183
328,18890
329,3171
330,19705
331,8434
332,10976
333,2539
334,5130
335,7978
336,3128
337,4849
338,19011
339,12100
340,11323
341,14746
342,6093
343,7477
344,669
345,12694
346,6557
347,18061
348,11198
349,11921
350,4269
351,11876
352,3471
353,9334
354,12840
355,8433
356,14358
357,4799
358,12673
359,14306
360,6606
361,11599
362,760
363,19573
364,17526
365,18083
366,15828
367,10404
368,8282
369,13393
370,17274
371,6527
372,6614
373,15495
374,5384
375,16049
376,235
377,2818
378,7103
379,8172
380,19665
381,18220
382,7764
383,12400
384,4209
385,3296
386,15985
387,13411
388,12509
389,4244
390,11834
391,9169
392,13860
393,1379
394,2659
395,13434
396,10955
397,11208
398,7601
399,16326
400,905
401,4624
402,12096
403,2642
404,1278
405,16497
406,4429
407,5381
408,3225
409,5754
410,8761
411,15859
412,18181
413,2579
414,16280
415,214
416,14816
417,493
418,4732
419,304
420,15234
421,6324
422,19447
423,11915
424,15684
425,7452
426,2879
427,3570
428,9652
429,16579
430,9625
431,18175
432,1855
433,1210
434,7063
435,19801
436,17123
437,7874
438,13424
439,14643
440,11073
441,16058
442,19496
443,4635
444,8
445,11640
446,7750
447,3141
448,9716
449,778
450,9838
451,1920
452,3009
453,1624
454,13005
455,17280
456,11383
457,15664
458,19819
459,19844
460,11285
461,7493
462,6716
463,3553
464,9818
465,5732
466,12921
467,15530
468,14205
469,15956
470,13179
471,19913
472,5170
473,18663
474,10357
