key,HASH(key)
1,5700357409662569472
2,2177342782470363136
3,7877700192132931584
4,4354685564940726272
5,831670937748520960
6,6532028347411087360
7,3009013720218886144
8,8709371129881452544
9,5186356502689243136
10,1663341875497041920
11,7363699285159608320
12,3840684657967398912
13,317670030775189504
14,6018027440437772288
15,2495012813245562880
16,8195370222908129280
17,4672355595715919872
18,1149340968523710464
19,6849698378186293248
20,3326683750994083840
21,9027041160656650240
22,5504026533464440832
23,1981011906272231424
24,7681369315934797824
25,4158354688742604800
26,635340061550379008
27,6335697471212978176
28,2812682844020768768
29,8513040253683335168
30,4990025626491125760
31,1467010999298916352
32,7167368408961482752
33,3644353781769273344
34,121339154577063936
35,5821696564239630336
36,2298681937047420928
37,7999039346709987328
38,4476024719517810688
39,953010092325601280
40,6653367501988167680
41,3130352874795958272
42,8830710284458524672
43,5307695657266315264
44,1784681030074105856
45,7485038439736672256
46,3962023812544462848
47,439009185352253440
48,6139366595014819840
49,2616351967822643200
50,8316709377485209600
51,4793694750293000192
52,1270680123100758016
53,6971037532763324416
54,3448022905571180544
55,9148380315233746944
56,5625365688041537536
57,2102351060849328128
58,7802708470511894528
59,4279693843319685120
60,756679216127475712
61,6457036625790042112
62,2934021998597832704
63,8634379408260399104
64,5111364781068189696
65,1588350153875980288
66,7288707563538546688
67,3765692936346337280
68,242678309154127872
69,5943035718816694272
70,2420021091624484864
71,8120378501287051264
72,4597363874094841856
73,1074349246902632448
74,6774706656565198848
75,3251692029373054976
76,8952049439035621376
77,5429034811843411968
78,1906020184651202560
79,7606377594313768960
80,4083362967121559552
81,560348339929350144
82,6260705749591916544
83,2737691122399707136
84,8438048532062273536
85,4915033904870064128
86,1392019277677854720
87,7092376687340421120
88,3569362060148211712
89,46347432956002304
90,5746704842618568704
91,2223690215426359296
92,7924047625088925696
93,4401032997896716288
94,878018370704506880
95,6578375780367073280
96,3055361153174863872
97,8755718562837495808
98,5232703935645286400
99,1709689308453076992
100,7410046718115643392
101,3887032090923433984
102,364017463731224576
103,6064374873393790976
104,2541360246201516032
105,8241717655864082432
106,4718703028671873024
107,1195688401479794688
108,6896045811142361088
109,3373031183950151680
110,9073388593612718080
111,5550373966420508672
112,2027359339228299264
113,7727716748890865664
114,4204702121698656256
115,681687494506446848
116,6382044904169013248
117,2859030276976803840
118,8559387686639370240
119,5036373059447160832
120,1513358432254951424
121,7213715841917517824
122,3690701214725308416
123,167686587533099008
124,5868043997195665408
125,2345029370003456000
126,8045386779666022400
127,4522372152473812992
128,999357525281603584
129,6699714934944169984
130,3176700307751960576
131,8877057717414526976
132,5354043090222317568
133,1831028463030108160
134,7531385872692674560
135,4008371245500465152
136,485356618308255744
137,6185714027970822144
138,2662699400778612736
139,8363056810441179136
140,4840042183248969728
141,1317027556056760320
142,7017384965719326720
143,3494370338527117312
144,9194727748189683712
145,5671713120997474304
146,2148698493805264896
147,7849055903467831296
148,4326041276275621888
149,803026649083412480
150,6503384058746109952
151,2980369431553900544
152,8680726841216466944
153,5157712214024257536
154,1634697586832048128
155,7335054996494614528
156,3812040369302405120
157,289025742110195712
158,5989383151772762112
159,2466368524580552704
160,8166725934243119104
161,4643711307050909696
162,1120696679858700288
163,6821054089521266688
164,3298039462329057280
165,8998396871991623680
166,5475382244799414272
167,1952367617607204864
168,7652725027269771264
169,4129710400077561856
170,606695772885352448
171,6307053182547918848
172,2784038555355709440
173,8484395965018275840
174,4961381337826066432
175,1438366710633857024
176,7138724120296423424
177,3615709493104214016
178,92694865912004608
179,5793052275574571008
180,2270037648382361600
181,7970395058044928000
182,4447380430852718592
183,924365803660509184
184,6624723213323075584
185,3101708586130866176
186,8802065995793432576
187,5279051368601223168
188,1756036741409013760
189,7456394151071580160
190,3933379523879370752
191,410364896687161344
192,6110722306349727744
193,2587707679157649408
194,8288065088820215808
195,4765050461628006400
196,1242035834435796992
197,6942393244098363392
198,3419378616906153984
199,9119736026568720384
200,5596721399376510976
201,2073706772184301568
202,7774064181846867968
203,4251049554654658560
204,728034927462449152
205,6428392337125015552
206,2905377709932806144
207,8605735119595372544
208,5082720492403032064
209,1559705865210822656
210,7260063274873389056
211,3737048647681179648
212,214034020488970240
213,5914391430151536640
214,2391376802959589376
215,8091734212622155776
216,4568719585429946368
217,1045704958237736960
218,6746062367900303360
219,3223047740708093952
220,8923405150370660352
221,5400390523178450944
222,1877375895986241536
223,7577733305648807936
224,4054718678456598528
225,531704051264389120
226,6232061460926955520
227,2709046833734746112
228,8409404243397312512
229,4886389616205103104
230,1363374989012893696
231,7063732398675460096
232,3540717771483250688
233,17703144291041280
234,5718060553953607680
235,2195045926761398272
236,7895403336423964672
237,4372388709231755264
238,849374082039545856
239,6549731491702112256
240,3026716864509902848
241,8727074274172469248
242,5204059646980259840
243,1681045019788050432
244,7381402429450616832
245,3858387802258407424
246,335373175066198016
247,6035730584728764416
248,2512715957536555008
249,8213073367199121408
250,4690058740006912000
251,1167044112814702592
252,6867401522477268992
253,3344386895285059584
254,9044744304947625984
255,5521729677755416576
256,1998715050563207168
257,7699072460225773568
258,4176057833033564160
259,653043205841354752
260,6353400615503921152
261,2830385988311711744
262,8530743397974278144
263,5007728770782068736
264,1484714143589859328
265,7185071553252425728
266,3662056926060216320
267,139042298868006912
268,5839399708530573312
269,2316385081338363904
270,8016742491000930304
271,4493727863808720896
272,970713236616511488
273,6671070646279077888
274,3148056019086868480
275,8848413428749434880
276,5325398801557225472
277,1802384174365016064
278,7502741584027582464
279,3979726956835373056
280,456712329643163648
281,6157069739305730048
282,2634055112113520640
283,8334412521776087040
284,4811397894583877632
285,1288383267391668224
286,6988740677054234624
287,3465726049862025216
288,9166083459524591616
289,5643068832332382208
290,2120054205140172800
291,7820411614802739200
292,4297396987610529792
293,774382360418320384
294,6474739770080886784
295,2951725142888677376
296,8652082552551243776
297,5129067925359034368
298,1606053298166824960
299,7306410707829653504
300,3783396080637444096
301,260381453445234688
302,5960738863107801088
303,2437724235915591680
304,8138081645578158080
305,4615067018385948672
306,1092052391193739264
307,6792409800856305664
308,3269395173664096256
309,8969752583326662656
310,5446737956134453248
311,1923723328942243840
312,7624080738604810240
313,4101066111412600832
314,578051484220391424
315,6278408893882957824
316,2755394266690748416
317,8455751676353314816
318,4932737049161105408
319,1409722421968896000
320,7110079831631462400
321,3587065204439252992
322,64050577247043584
323,5764407986909609984
324,2241393359717400576
325,7941750769379966976
326,4418736142187757568
327,895721514995548160
328,6596078924658114560
329,3073064297465905152
330,8773421707128471552
331,5250407079936262144
332,1727392452744052736
333,7427749862406619136
334,3904735235214409728
335,381720608022200320
336,6082078017684766720
337,2559063390492557312
338,8259420800155123712
339,4736406172962914304
340,1213391545770704896
341,6913748955433271296
342,3390734328241061888
343,9091091737903628288
344,5568077110711418880
345,2045062483519209472
346,7745419893181775872
347,4222405265989566464
348,699390638797357056
349,6399748048459923456
350,2876733421267714048
351,8577090830930280448
352,5054076203738071040
353,1531061576545861632
354,7231418986208428032
355,3708404359016218624
356,185389731824009216
357,5885747141486575616
358,2362732514294366208
359,8063089923956932608
360,4540075296764723200
361,1017060669572513792
362,6717418079235080192
363,3194403452042870784
364,8894760861705437184
365,5371746234513227776
366,1848731607321018368
367,7549089016983584768
368,4026074389791375360
369,503059762599165952
370,6203417172261732352
371,2680402545069522944
372,8380759954732089344
373,4857745327539879936
374,1334730700347670528
375,7035088110010236928
376,3512073482818027520
377,9212430892480593920
378,5689416265288384512
379,2166401638096175104
380,7866759047758741504
381,4343744420566532096
382,820729793374322688
383,6521087203036889088
384,2998072575844679680
385,8698429985507508224
386,5175415358315298816
387,1652400731123089408
388,7352758140785655808
389,3829743513593446400
390,306728886401236992
391,6007086296063803392
392,2484071668871593984
393,8184429078534160384
394,4661414451341950976
395,1138399824149741568
396,6838757233812307968
397,3315742606620098560
398,9016100016282664960
399,5493085389090455552
400,1970070761898246144
401,7670428171560812544
402,4147413544368603136
403,624398917176393728
404,6324756326838960128
405,2801741699646750720
406,8502099109309317120
407,4979084482117107712
408,1456069854924898304
409,7156427264587464704
410,3633412637395255296
411,110398010203045888
412,5810755419865612288
413,2287740792673402880
414,7988098202335969280
415,4465083575143759872
416,942068947951288320
417,6642426357614116864
418,3119411730421645312
419,8819769140084473856
420,5296754512892002304
421,1773739885700055040
422,7474097295362359296
423,3951082668170412032
424,428068040977940480
425,6128425450640769024
426,2605410823448297472
427,8305768233111126016
428,4782753605919178752
429,1259738978726707200
430,6960096388389535744
431,3437081761197064192
432,9137439170859892736
433,5614424543667421184
434,2091409916475473920
435,7791767326137778176
436,4268752698945830912
437,745738071753359360
438,6446095481416187904
439,2923080854223716352
440,8623438263886544896
441,5100423636694073344
442,1577409009502126080
443,7277766419164430336
444,3754751791972483072
445,231737164780011520
446,5932094574442840064
447,2409079947250368512
448,8109437356913197056
449,4586422729720725504
450,1063408102528778240
451,6763765512191082496
452,3240750884999135232
453,8941108294661439488
454,5418093667469492224
455,1895079040277020672
456,7595436449939849216
457,4072421822747377664
458,549407195555430400
459,6249764605217734656
460,2726749978025787392
461,8427107387688091648
462,4904092760496144384
463,1381078133303672832
464,7081435542966501376
465,3558420915774029824
466,35406288582082560
467,5735763698244386816
468,2212749071052439552
469,7913106480714743808
470,4390091853522796544
471,867077226330324992
472,6567434635993153536
473,3044420008800681984
474,8744777418463510528
475,5221762791271038976
476,1698748164079091712
477,7399105573741395968
478,3876090946549448704
479,353076319356977152
480,6053433729019805696
481,2530419101827334144
482,8230776511490162688
483,4707761884297691136
484,1184747257105743872
485,6885104666768048128
486,3362090039576100864
487,9062447449238405120
488,5539432822046457856
489,2016418194853986304
490,7716775604516814848
491,4193760977324343296
492,670746350132396032
493,6371103759794700288
494,2848089132602753024
495,8548446542265057280
496,5025431915073110016
497,1502417287880638464
498,7202774697543467008
499,3679760070350995456
500,156745443159048192
501,5857102852821352448
502,2334088225629405184
503,8034445635291709440
504,4511431008099762176
505,988416380907290624
506,6688773790570119168
507,3165759163377647616
508,8866116573040476160
509,5343101945848004608
510,1820087318656057344
511,7520444728318361600
512,3997430101126414336
513,474415473934467072
514,6174772883596771328
515,2651758256404824064
516,8352115666067128320
517,4829101038875181056
518,1306086411682709504
519,7006443821345538048
520,3483429194153066496
521,9183786603815895040
522,5660771976623423488
523,2137757349431476224
524,7838114759093780480
525,4315100131901833216
526,792085504709361664
527,6492442914372190208
528,2969428287179718656
529,8669785696842547200
530,5146771069650075648
531,1623756442458128384
532,7324113852120432640
533,3801099224928485376
534,278084597736013824
535,5978442007398842368
536,2455427380206370816
537,8155784789869199360
